id,symptom_id,product_id
6893cf1d-ae17-46e0-b923-85615d28ac98,2b148ab7-b928-4da8-b40c-0f42839b0745,ef9e035a-c12f-4415-8003-fd55525b78b9
add70ac3-f559-462f-a01b-af29ecbb2802,e3275adf-4d2a-47c0-b3e6-1dd769090fb4,41b142e0-a013-4a0d-8345-9dab07562b67
91624a5e-89eb-493e-8839-3984de5f9cae,1f5ae48a-d850-4784-a5ec-a040bccb5165,078ab50a-00be-4df9-b18a-ba1eb9837e52
ec48b8dc-0346-405f-bda6-ff657a9a7fc2,16a83a13-5892-4535-a370-826e47a3c49c,f70f2220-4cc3-4d11-aa05-1757af38edda
1cb12b6b-8da8-4b09-8f73-255438f3d561,1f5ae48a-d850-4784-a5ec-a040bccb5165,91b9a09a-4af0-4ec0-9afe-e565e669867e
f7a98b76-c8f3-49bd-9622-67769ed78ee9,251e40c0-2e31-48da-bef1-2d7fdf1cc8fc,1b19a1f5-d611-4fe6-8777-a176f093fb3d
bb412044-9f3b-424e-84bc-09c28edf703f,a0fab10d-b104-4d82-8d1b-959161113f51,2f9551a2-42b0-4a00-952e-e693f2489482
2252059d-dab6-4b71-8fc9-8dfa435c47b9,1f5ae48a-d850-4784-a5ec-a040bccb5165,f70f2220-4cc3-4d11-aa05-1757af38edda
9561a883-56f5-44f3-b98f-d25cbc7e8889,251e40c0-2e31-48da-bef1-2d7fdf1cc8fc,2f9551a2-42b0-4a00-952e-e693f2489482
b1a97c2b-0726-4f6f-b0a0-c4aacfe3b0a0,1f5ae48a-d850-4784-a5ec-a040bccb5165,078ab50a-00be-4df9-b18a-ba1eb9837e52
9f13b4dc-fa0e-4079-b9cb-62a51d5a8c38,16a83a13-5892-4535-a370-826e47a3c49c,fadabb83-ff62-4661-a505-270cceb384e7
df4440ca-c584-4946-bc70-0cc09a445c2b,16a83a13-5892-4535-a370-826e47a3c49c,2f9551a2-42b0-4a00-952e-e693f2489482
6907ca3a-7871-495f-a867-a054a4bd751c,e3275adf-4d2a-47c0-b3e6-1dd769090fb4,078ab50a-00be-4df9-b18a-ba1eb9837e52
b113aa79-c546-47c6-b575-736791404249,16a83a13-5892-4535-a370-826e47a3c49c,2f9551a2-42b0-4a00-952e-e693f2489482
2b2e3c84-a3a5-416e-a421-ae5620c64f94,16a83a13-5892-4535-a370-826e47a3c49c,078ab50a-00be-4df9-b18a-ba1eb9837e52
